noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,fisher_rao
0.0,64,<class 'torch.optim.adam.Adam'>,20050,1.0,64.13612140308727,11511.4970703125,2125.489269142787
0.0,128,<class 'torch.optim.adam.Adam'>,11850,1.0,27.474861405112527,5828.197265625,841.6405082716811
0.0,256,<class 'torch.optim.adam.Adam'>,,0.985390796201607,32.456371849233456,10772.8232421875,1562.7354367510568
0.0,512,<class 'torch.optim.adam.Adam'>,,0.8597516435354273,0.38261676918376575,179.6542510986328,17.624754945259003
0.0,1024,<class 'torch.optim.adam.Adam'>,,0.9495982468955442,8.147660320455378,1189.830810546875,228.63069231778198
0.0,1369,<class 'torch.optim.adam.Adam'>,,0.8984660336011687,12.308052344755692,677.2933959960938,419.8064454919339
0.5,64,<class 'torch.optim.adam.Adam'>,,0.7311906501095691,13.780732089822942,2785.07177734375,482.38823249971904
0.5,128,<class 'torch.optim.adam.Adam'>,,0.7779401022644266,25.558351690118965,2392.7666015625,869.9070062160417
0.5,256,<class 'torch.optim.adam.Adam'>,,0.7706355003652301,17.673970222473145,1793.920654296875,453.80380604758886
0.5,512,<class 'torch.optim.adam.Adam'>,,0.7589481373265157,10.444503805854104,1496.2645263671875,257.21573026884914
0.5,1024,<class 'torch.optim.adam.Adam'>,,0.8064280496712929,20.21580516208302,1669.72265625,476.49329704232554
0.5,1369,<class 'torch.optim.adam.Adam'>,,0.7545653761869978,3.9366318637674507,579.39404296875,108.95199448893153
1.0,64,<class 'torch.optim.adam.Adam'>,,0.38641344046749454,11.230343731966885,3188.5439453125,436.36493693606354
1.0,128,<class 'torch.optim.adam.Adam'>,,0.3973703433162893,11.071522149172695,4868.8486328125,247.11429487465526
1.0,256,<class 'torch.optim.adam.Adam'>,,0.408327246165084,9.320506312630393,8727.259765625,242.5732565899708
1.0,512,<class 'torch.optim.adam.Adam'>,,0.4200146092037984,9.838725870305842,888.7044677734375,225.8414606848278
1.0,1024,<class 'torch.optim.adam.Adam'>,,0.46092037983929873,4.313516096635298,432.543212890625,116.56039743105683
1.0,1369,<class 'torch.optim.adam.Adam'>,,0.4660336011687363,2.995430740443143,443.2397766113281,62.12437497044067
2.0,64,<class 'torch.optim.adam.Adam'>,,0.22279035792549307,4.922120516950434,3180.25634765625,134.92385774767422
2.0,128,<class 'torch.optim.adam.Adam'>,,0.2176771365960555,9.485237164930863,2474.4560546875,253.97247815176686
2.0,256,<class 'torch.optim.adam.Adam'>,,0.22425127830533237,16.359569159421053,970.1694946289062,468.1052843966349
2.0,512,<class 'torch.optim.adam.Adam'>,,0.23886048210372535,6.770218155600808,1241.2470703125,229.06853782200082
2.0,1024,<class 'torch.optim.adam.Adam'>,,0.22717311906501095,4.1010589816353535,874.6322631835938,93.16430258071652
2.0,1369,<class 'torch.optim.adam.Adam'>,,0.239590942293645,2.630646673115817,727.472900390625,50.63608708571247
