noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,fisher_rao
0.0,64,<class 'sam.SAM'>,,0.9656683710737765,15.610872339118611,738.1058959960938,806.1887662251938
0.0,128,<class 'sam.SAM'>,,0.8897005113221329,14.43476815386252,940.78564453125,738.3448048931727
0.0,256,<class 'sam.SAM'>,,0.8356464572680788,8.48569335991686,937.2866821289062,308.77414666577863
0.0,512,<class 'sam.SAM'>,,0.8378378378378378,2.6779159795154226,442.9970703125,62.86121355284858
0.0,1024,<class 'sam.SAM'>,,0.831263696128561,8.50762654705481,987.7719116210938,271.62872049291764
0.0,1369,<class 'sam.SAM'>,,0.7304601899196493,2.6371872533451426,644.0579833984375,64.39591001170912
0.5,64,<class 'sam.SAM'>,,0.8224981738495252,3.226706017147411,729.1409301757812,145.46900287399544
0.5,128,<class 'sam.SAM'>,,0.6566837107377648,5.154358517039906,343.315185546875,235.26304200993914
0.5,256,<class 'sam.SAM'>,,0.5704894083272462,2.886215101588856,865.3386840820312,104.25586576509602
0.5,512,<class 'sam.SAM'>,,0.6260043827611396,1.8992250561714172,297.2259826660156,46.56927329189417
0.5,1024,<class 'sam.SAM'>,,0.6932067202337473,2.1503317681225864,430.7762756347656,55.339905220224146
0.5,1369,<class 'sam.SAM'>,,0.6413440467494521,1.8618544015017422,282.7862243652344,38.63295066323457
1.0,64,<class 'sam.SAM'>,,0.41197954711468227,4.202846532518214,2941.59228515625,280.12647273052835
1.0,128,<class 'sam.SAM'>,,0.4024835646457268,2.927626360546459,391.3336486816406,147.68173192610152
1.0,256,<class 'sam.SAM'>,,0.4243973703433163,1.8485463695092634,195.09793090820312,64.5622785629077
1.0,512,<class 'sam.SAM'>,,0.4185536888239591,1.615004068071192,223.4908447265625,45.178802763822915
1.0,1024,<class 'sam.SAM'>,,0.34989043097151207,1.6226956194097346,174.28025817871094,40.93653087574472
1.0,1369,<class 'sam.SAM'>,,0.38860482103725347,1.41527305949818,234.3790283203125,24.7877198057344
2.0,64,<class 'sam.SAM'>,,0.3140978816654492,10.862375530329617,1174.998779296875,476.0687932461013
2.0,128,<class 'sam.SAM'>,,0.21183345507669832,1.4986731301654468,242.74461364746094,86.31645033241973
2.0,256,<class 'sam.SAM'>,,0.21548575602629658,1.4949592785401777,158.28378295898438,56.71238630101044
2.0,512,<class 'sam.SAM'>,,0.20745069393718044,1.4154451435262507,302.500244140625,42.43339501036987
2.0,1024,<class 'sam.SAM'>,,0.20818115412710006,1.3166813850402832,176.25169372558594,32.954804242143815
2.0,1369,<class 'sam.SAM'>,,0.21840759678597516,1.1635902469808406,133.05567932128906,28.402508337907612
